类别：所有类别

月份,Technological innovation: (美国)
2004-01,91
2004-02,59
2004-03,75
2004-04,57
2004-05,52
2004-06,53
2004-07,55
2004-08,50
2004-09,70
2004-10,48
2004-11,100
2004-12,45
2005-01,39
2005-02,97
2005-03,53
2005-04,80
2005-05,35
2005-06,61
2005-07,55
2005-08,34
2005-09,53
2005-10,49
2005-11,91
2005-12,43
2006-01,51
2006-02,80
2006-03,71
2006-04,62
2006-05,31
2006-06,33
2006-07,48
2006-08,37
2006-09,44
2006-10,74
2006-11,27
2006-12,34
2007-01,30
2007-02,38
2007-03,45
2007-04,43
2007-05,16
2007-06,33
2007-07,32
2007-08,20
2007-09,55
2007-10,67
2007-11,40
2007-12,32
2008-01,29
2008-02,26
2008-03,41
2008-04,57
2008-05,29
2008-06,13
2008-07,16
2008-08,29
2008-09,38
2008-10,52
2008-11,16
2008-12,26
2009-01,43
2009-02,42
2009-03,41
2009-04,38
2009-05,21
2009-06,25
2009-07,24
2009-08,28
2009-09,43
2009-10,28
2009-11,45
2009-12,35
2010-01,27
2010-02,46
2010-03,51
2010-04,24
2010-05,52
2010-06,23
2010-07,27
2010-08,23
2010-09,42
2010-10,51
2010-11,43
2010-12,24
2011-01,38
2011-02,50
2011-03,34
2011-04,55
2011-05,48
2011-06,38
2011-07,17
2011-08,17
2011-09,57
2011-10,66
2011-11,46
2011-12,38
2012-01,44
2012-02,51
2012-03,54
2012-04,59
2012-05,43
2012-06,35
2012-07,20
2012-08,46
2012-09,51
2012-10,47
2012-11,48
2012-12,52
2013-01,45
2013-02,60
2013-03,60
2013-04,50
2013-05,46
2013-06,28
2013-07,28
2013-08,39
2013-09,73
2013-10,64
2013-11,59
2013-12,56
2014-01,46
2014-02,56
2014-03,45
2014-04,55
2014-05,42
2014-06,43
2014-07,20
2014-08,32
2014-09,80
2014-10,72
2014-11,57
2014-12,39
2015-01,47
2015-02,44
2015-03,66
2015-04,38
2015-05,31
2015-06,22
2015-07,17
2015-08,29
2015-09,76
2015-10,67
2015-11,69
2015-12,38
2016-01,47
2016-02,57
2016-03,48
2016-04,52
2016-05,52
2016-06,27
2016-07,30
2016-08,27
2016-09,70
2016-10,55
2016-11,65
2016-12,53
2017-01,49
2017-02,81
2017-03,61
2017-04,62
2017-05,39
2017-06,29
2017-07,24
2017-08,27
2017-09,65
2017-10,66
2017-11,58
2017-12,64
2018-01,49
2018-02,62
2018-03,53
2018-04,64
2018-05,47
2018-06,41
2018-07,23
2018-08,29
2018-09,72
2018-10,88
2018-11,50
2018-12,58
2019-01,50
2019-02,70
2019-03,49
2019-04,59
2019-05,56
2019-06,21
2019-07,13
2019-08,34
2019-09,66
2019-10,72
2019-11,62
2019-12,55
2020-01,52
2020-02,82
2020-03,51
2020-04,59
2020-05,49
